campaign_type,target_audience,duration,channel_used,impressions,clicks,leads,conversions,revenue,acquisition_cost,roi,language,engagement_score,customer_segment,date,brand,total_acquisition_cost
Paid Ads,Working Women,23.0,Facebook,53164.0,1196.0,454.0,219.0,81249.0,1335.16,-0.72,Tamil,3.52,Tier 2 City Customers,2024-11-20,nykaa,292400.04000000004
SEO,College Students,17.0,"WhatsApp, Instagram",86137.0,1827.0,752.0,428.0,226412.0,459.11,0.15,Tamil,3.49,Youth,2024-08-09,nykaa,196499.08000000002
SEO,Youth,22.0,"YouTube, Facebook, WhatsApp",52399.0,7223.0,3178.0,1257.0,467604.0,77.1,3.82,Hindi,22.25,Working Women,2025-03-10,nykaa,96914.7
Influencer,College Students,30.0,"Instagram, Email, WhatsApp",79427.0,10737.0,5870.0,3306.0,2558844.0,22.04,34.12,Bengali,25.07,College Students,2025-05-25,nykaa,72864.23999999999
Social Media,Tier 2 City Customers,5.0,Facebook,84678.0,6021.0,2781.0,1438.0,511928.0,96.49,2.69,Bengali,12.09,Premium Shoppers,2024-12-17,nykaa,138752.62
Social Media,Youth,17.0,"Email, WhatsApp",31264.0,3843.0,1491.0,792.0,194832.0,241.03,0.02,Tamil,19.59,Tier 2 City Customers,2025-04-09,nykaa,190895.76
Email,Youth,29.0,"YouTube, Instagram, Google",68218.0,3428.0,1880.0,1194.0,299694.0,110.16,1.28,English,9.53,Tier 2 City Customers,2024-10-02,nykaa,131531.04
Social Media,Premium Shoppers,17.0,Instagram,71492.0,3783.0,1100.0,449.0,303524.0,221.23,2.06,Hindi,7.46,College Students,2024-12-30,nykaa,99332.26999999999
Social Media,Youth,30.0,"Google, Email",70805.0,9338.0,2136.0,1375.0,1067000.0,195.12,2.98,Hindi,18.15,Youth,2024-11-19,nykaa,268290.0
Email,College Students,6.0,"Google, Instagram",20184.0,1209.0,621.0,247.0,162773.0,948.22,-0.31,Hindi,10.29,Working Women,2025-02-06,nykaa,234210.34
Paid Ads,Working Women,29.0,"Instagram, Email, Google",49373.0,4825.0,2006.0,1361.0,973115.0,144.13,3.96,Hindi,16.59,Working Women,2025-02-06,nykaa,196160.93
SEO,Youth,14.0,"Instagram, YouTube",36275.0,5132.0,2551.0,846.0,354474.0,74.65,4.61,Tamil,23.51,College Students,2025-03-28,nykaa,63153.9
Influencer,Youth,9.0,"Email, Instagram, Facebook",49105.0,6320.0,3098.0,1615.0,692835.0,175.97,1.44,Hindi,22.47,Premium Shoppers,2024-12-22,nykaa,284191.55
Email,Working Women,27.0,"WhatsApp, Facebook",62436.0,3799.0,1971.0,840.0,293160.0,216.02,0.62,Bengali,10.59,Youth,2024-10-23,nykaa,181456.80000000002
Paid Ads,Tier 2 City Customers,25.0,"YouTube, Google",55226.0,820.0,349.0,174.0,38280.0,1598.9,-0.86,English,2.43,Tier 2 City Customers,2024-09-01,nykaa,278208.60000000003
Social Media,Youth,10.0,Instagram,31957.0,3043.0,880.0,619.0,472297.0,256.96,1.97,Hindi,14.21,Tier 2 City Customers,2024-10-08,nykaa,159058.24
Paid Ads,Working Women,23.0,Google,84489.0,7506.0,4050.0,1340.0,399320.0,117.73,1.53,Bengali,15.26,Youth,2024-10-25,nykaa,157758.2
Influencer,Youth,11.0,Google,47804.0,4848.0,1508.0,790.0,161950.0,137.7,0.49,Hindi,14.95,College Students,2024-08-15,nykaa,108782.99999999999
Email,Tier 2 City Customers,5.0,"WhatsApp, Google, YouTube",82671.0,5439.0,1786.0,1162.0,534520.0,171.3,1.69,English,10.15,College Students,2024-11-05,nykaa,199050.6
Email,Working Women,27.0,"Google, Instagram",85325.0,3379.0,1136.0,871.0,630604.0,141.84,4.1,Bengali,6.31,Working Women,2024-07-20,nykaa,123542.64
Social Media,Youth,12.0,Instagram,46550.0,3167.0,1790.0,661.0,231350.0,435.24,-0.2,Tamil,12.07,College Students,2024-07-22,nykaa,287693.64
SEO,Youth,16.0,Instagram,44442.0,5320.0,2531.0,2017.0,1208183.0,45.03,12.3,English,22.2,Premium Shoppers,2024-08-13,nykaa,90825.51000000001
Paid Ads,Premium Shoppers,10.0,"Instagram, Facebook, YouTube",12178.0,1770.0,542.0,362.0,235300.0,297.73,1.18,Hindi,21.96,Working Women,2024-10-06,nykaa,107778.26000000001
Social Media,Youth,13.0,Google,85409.0,6853.0,1639.0,637.0,347165.0,462.23,0.18,English,10.69,Youth,2025-04-30,nykaa,294440.51
Social Media,Working Women,22.0,YouTube,69696.0,6754.0,2511.0,1626.0,663408.0,32.57,11.53,English,15.63,Youth,2025-05-04,nykaa,52958.82
Influencer,Tier 2 City Customers,10.0,"Google, WhatsApp, Facebook",18794.0,2472.0,1017.0,793.0,507520.0,350.15,0.83,Bengali,22.78,College Students,2024-11-19,nykaa,277668.94999999995
Influencer,Premium Shoppers,27.0,"YouTube, WhatsApp",56593.0,7597.0,2111.0,1016.0,553720.0,139.8,2.9,Hindi,18.95,Youth,2024-09-09,nykaa,142036.80000000002
Email,Premium Shoppers,5.0,"Facebook, WhatsApp, YouTube",48269.0,3501.0,1263.0,580.0,222140.0,278.04,0.38,Hindi,11.07,College Students,2025-06-08,nykaa,161263.2
SEO,Working Women,13.0,"YouTube, Facebook",96562.0,14100.0,3868.0,2224.0,1127568.0,85.25,4.95,Hindi,20.91,Working Women,2025-05-25,nykaa,189596.0
SEO,Tier 2 City Customers,17.0,"Google, Email",16407.0,2292.0,1348.0,954.0,595296.0,290.38,1.15,Bengali,28.0,Working Women,2024-09-22,nykaa,277022.52
Influencer,Premium Shoppers,10.0,"WhatsApp, Instagram, Facebook",66821.0,9864.0,2086.0,1293.0,708564.0,147.88,2.71,English,19.82,Youth,2024-07-08,nykaa,191208.84
Email,Youth,29.0,Instagram,44546.0,3338.0,1322.0,944.0,556960.0,209.38,1.82,Hindi,12.58,Tier 2 City Customers,2025-02-25,nykaa,197654.72
Paid Ads,College Students,26.0,"Google, Facebook",24983.0,1082.0,575.0,285.0,218880.0,708.2,0.08,Tamil,7.77,Premium Shoppers,2024-09-06,nykaa,201837.0
Paid Ads,Tier 2 City Customers,18.0,"YouTube, WhatsApp, Facebook",19627.0,1651.0,784.0,388.0,214952.0,547.42,0.01,English,14.38,Working Women,2025-02-02,nykaa,212398.96
Influencer,Premium Shoppers,22.0,Facebook,59396.0,6819.0,1802.0,996.0,511944.0,152.55,2.37,Hindi,16.19,Working Women,2024-12-18,nykaa,151939.80000000002
Paid Ads,College Students,30.0,"Google, Facebook, Instagram",99320.0,13546.0,4559.0,1506.0,328308.0,184.73,0.18,Bengali,19.75,Working Women,2025-03-22,nykaa,278203.38
SEO,Working Women,19.0,"Google, YouTube",95089.0,11903.0,3246.0,2453.0,838926.0,38.32,7.92,English,18.51,College Students,2024-12-09,nykaa,93998.96
Social Media,Youth,23.0,"Email, Instagram",12174.0,1806.0,977.0,544.0,127840.0,233.72,0.01,Bengali,27.33,Premium Shoppers,2025-03-11,nykaa,127143.68
Influencer,College Students,17.0,"Google, YouTube, Facebook",64447.0,6519.0,3498.0,2142.0,1469412.0,28.25,23.28,English,18.87,College Students,2025-01-11,nykaa,60511.5
Social Media,Working Women,20.0,Facebook,94579.0,9684.0,4247.0,1953.0,1222578.0,207.35500000000002,2.02,English,16.79,College Students,2024-11-17,nykaa,404964.31500000006
Influencer,Premium Shoppers,8.0,"WhatsApp, YouTube, Google",68636.0,1624.0,858.0,341.0,77066.0,186.98,0.21,Hindi,4.11,Tier 2 City Customers,2024-12-13,nykaa,63760.17999999999
Influencer,Premium Shoppers,5.0,"WhatsApp, Google",46426.0,5671.0,2863.0,2270.0,744560.0,105.64,2.1,Bengali,23.27,Tier 2 City Customers,2024-11-16,nykaa,239802.8
Paid Ads,Premium Shoppers,29.0,"Google, Email, YouTube",63781.0,6772.0,1415.0,899.0,229245.0,272.78,-0.07,Bengali,14.25,College Students,2024-11-11,nykaa,245229.21999999997
SEO,Working Women,17.0,"YouTube, Instagram, Facebook",11668.0,1255.0,400.0,272.0,103632.0,1049.5,-0.64,Tamil,16.52,Working Women,2024-08-17,nykaa,285464.0
SEO,Premium Shoppers,9.0,Facebook,88717.0,11362.0,4121.0,1522.0,721428.0,149.5,2.17,English,19.17,Youth,2025-04-07,nykaa,227539.0
SEO,College Students,19.0,Facebook,55226.0,4717.0,1512.0,683.0,480149.0,135.21,4.2,English,12.52,Working Women,2024-07-12,nykaa,92348.43000000001
SEO,Tier 2 City Customers,16.0,Instagram,11587.0,1456.0,531.0,265.0,88245.0,772.22,-0.57,Bengali,19.44,Premium Shoppers,2024-09-28,nykaa,204638.30000000002
Social Media,Premium Shoppers,29.0,"WhatsApp, Email, Facebook",62652.0,2495.0,632.0,372.0,184140.0,235.92,1.1,Tamil,5.58,Working Women,2024-10-25,nykaa,87762.23999999999
Paid Ads,College Students,5.0,"YouTube, Facebook",31862.0,3490.0,1697.0,1293.0,770628.0,161.34,2.69,Bengali,20.34,Working Women,2025-06-20,nykaa,208612.62
SEO,Tier 2 City Customers,16.0,"Google, Email",67169.0,6887.0,2415.0,1776.0,912864.0,108.8,3.72,English,16.49,Premium Shoppers,2024-09-14,nykaa,193228.8
Email,Working Women,25.0,Instagram,65702.0,9363.0,3254.0,1542.0,641472.0,155.67,1.67,Tamil,21.55,Tier 2 City Customers,2025-04-24,nykaa,240043.13999999998
Influencer,Premium Shoppers,17.0,Facebook,12476.0,1614.0,666.0,199.0,105669.0,207.35500000000002,1.56,Tamil,19.87,Working Women,2025-01-04,nykaa,41263.645000000004
SEO,Working Women,5.0,"Facebook, Instagram, WhatsApp",49786.0,2149.0,933.0,375.0,293250.0,301.95,1.59,English,6.94,Tier 2 City Customers,2024-07-05,nykaa,113231.25
Email,Tier 2 City Customers,16.0,Email,15893.0,1637.0,788.0,336.0,164304.0,207.35500000000002,1.36,Hindi,17.37,College Students,2025-02-21,nykaa,69671.28
SEO,Tier 2 City Customers,9.0,"Email, WhatsApp, Instagram",16914.0,1936.0,970.0,379.0,134545.0,419.55,-0.15,Hindi,19.42,Premium Shoppers,2025-03-12,nykaa,159009.45
SEO,Youth,9.0,Facebook,81936.0,9028.0,2941.0,1074.0,431748.0,107.07,2.75,Bengali,15.92,Tier 2 City Customers,2025-02-23,nykaa,114993.18
Email,Youth,27.0,Google,44048.0,1969.0,865.0,430.0,299280.0,142.92,3.87,Hindi,7.41,Tier 2 City Customers,2025-05-10,nykaa,61455.59999999999
SEO,College Students,17.0,Facebook,55226.0,5436.0,2820.0,1477.0,979251.0,143.3,3.63,English,17.62,Youth,2025-01-12,nykaa,211654.1
Paid Ads,Youth,11.0,YouTube,85302.0,12776.0,5211.0,3201.0,1213179.0,61.27,5.19,English,24.84,College Students,2025-03-20,nykaa,196125.27000000002
Influencer,Working Women,21.0,Google,34364.0,3325.0,935.0,716.0,168260.0,235.19,-0.0,Tamil,14.48,Premium Shoppers,2024-09-12,nykaa,168396.04
Influencer,Working Women,11.0,Google,91113.0,4310.0,1199.0,736.0,571872.0,106.71,6.28,Tamil,6.85,Youth,2024-11-08,nykaa,78538.56
Email,Tier 2 City Customers,17.0,"Email, Facebook, Google",55226.0,1474.0,746.0,416.0,256672.0,604.06,0.02,Bengali,4.77,Tier 2 City Customers,2024-08-05,nykaa,251288.95999999996
Email,Working Women,21.0,"Google, Email, YouTube",57884.0,3412.0,716.0,328.0,229928.0,531.91,0.32,Bengali,7.7,College Students,2025-04-26,nykaa,174466.47999999998
Influencer,Youth,11.0,"Google, Instagram",69357.0,3679.0,1721.0,1305.0,662940.0,195.36,1.6,Bengali,9.67,College Students,2024-10-12,nykaa,254944.80000000002
Social Media,Tier 2 City Customers,5.0,"WhatsApp, Instagram",97980.0,13674.0,7219.0,3938.0,1311354.0,69.97,3.76,Tamil,25.34,Working Women,2025-02-15,nykaa,275541.86
Paid Ads,College Students,26.0,Facebook,22011.0,1133.0,324.0,257.0,167050.0,526.53,0.23,Hindi,7.79,College Students,2024-12-31,nykaa,135318.21
SEO,Tier 2 City Customers,25.0,"Instagram, Email",32611.0,4217.0,2257.0,1071.0,765765.0,184.98,2.87,English,23.14,Youth,2025-02-24,nykaa,198113.58
Paid Ads,Youth,10.0,"Google, Instagram",98554.0,13478.0,4962.0,3354.0,744588.0,85.21,1.61,Hindi,22.11,Youth,2025-06-08,nykaa,285794.33999999997
Paid Ads,College Students,6.0,WhatsApp,63368.0,3655.0,1327.0,621.0,206793.0,304.55,0.09,English,8.84,Tier 2 City Customers,2024-10-21,nykaa,189125.55000000002
Influencer,Working Women,28.0,"Google, Instagram",38968.0,5386.0,1945.0,1066.0,231322.0,222.8,-0.03,Hindi,21.55,Premium Shoppers,2024-12-28,nykaa,237504.80000000002
Email,Working Women,17.0,"Instagram, YouTube, Google",55624.0,8339.0,4683.0,2741.0,1110105.0,57.04,6.1,Hindi,28.34,Working Women,2024-09-04,nykaa,156346.63999999998
Paid Ads,College Students,8.0,Instagram,88325.0,3975.0,1755.0,736.0,561568.0,349.97,1.18,Hindi,7.32,Working Women,2024-11-25,nykaa,257577.92
SEO,Premium Shoppers,21.0,"Google, YouTube",55226.0,6022.0,2319.0,1413.0,997578.0,106.05,5.66,English,17.66,College Students,2024-11-04,nykaa,149848.65
Email,College Students,23.0,Instagram,91193.0,12008.0,6829.0,2350.0,634500.0,93.17,1.9,Bengali,23.23,Working Women,2025-04-13,nykaa,218949.5
Influencer,Youth,12.0,"Facebook, WhatsApp",56814.0,1691.0,968.0,463.0,175940.0,325.75,0.17,English,5.5,College Students,2024-10-13,nykaa,150822.25
SEO,College Students,30.0,"WhatsApp, Facebook",16699.0,787.0,403.0,292.0,96652.0,764.0,-0.57,Hindi,8.87,Youth,2024-07-11,nykaa,223088.0
Influencer,Youth,28.0,Email,55226.0,1045.0,471.0,313.0,118001.0,497.07,-0.24,Bengali,3.31,Tier 2 City Customers,2024-09-24,nykaa,155582.91
Influencer,Youth,14.0,Google,47966.0,3800.0,2169.0,682.0,364870.0,207.35500000000002,1.58,English,13.87,College Students,2025-03-09,nykaa,141416.11000000002
Email,Youth,18.0,Facebook,30873.0,2594.0,881.0,652.0,192992.0,92.69,2.19,Hindi,13.37,Working Women,2024-10-23,nykaa,60433.88
Email,Premium Shoppers,29.0,"Instagram, Facebook, Google",39240.0,2941.0,838.0,334.0,120240.0,207.35500000000002,0.74,Hindi,10.48,Tier 2 City Customers,2024-07-11,nykaa,69256.57
Paid Ads,Tier 2 City Customers,23.0,"WhatsApp, Google",75851.0,7788.0,4367.0,1884.0,1301844.0,98.97,5.98,Hindi,18.51,Working Women,2024-12-20,nykaa,186459.48
Paid Ads,College Students,27.0,Google,67117.0,5985.0,3169.0,1841.0,428953.0,39.41,4.91,English,16.38,Tier 2 City Customers,2025-04-17,nykaa,72553.81
Social Media,Tier 2 City Customers,9.0,WhatsApp,74798.0,9653.0,4578.0,2357.0,716528.0,83.84,2.63,Hindi,22.18,Working Women,2024-10-02,nykaa,197610.88
Influencer,Working Women,13.0,"Google, Instagram",14168.0,1045.0,494.0,343.0,216090.0,251.41,1.51,Hindi,13.28,Youth,2024-11-19,nykaa,86233.63
SEO,Premium Shoppers,25.0,Instagram,71962.0,10288.0,3866.0,2748.0,708984.0,207.35500000000002,0.24,Hindi,23.49,Working Women,2024-08-25,nykaa,569811.54
Influencer,Youth,16.0,"Google, WhatsApp, YouTube",69594.0,9744.0,3164.0,1055.0,580250.0,64.85,7.48,Tamil,20.06,Premium Shoppers,2024-12-15,nykaa,68416.75
Email,College Students,26.0,Facebook,11824.0,1451.0,421.0,165.0,117975.0,381.5,0.87,Hindi,17.23,Youth,2024-11-21,nykaa,62947.5
SEO,Tier 2 City Customers,11.0,Instagram,87153.0,8092.0,4246.0,1490.0,420180.0,111.63,1.53,English,15.87,Youth,2024-12-25,nykaa,166328.69999999998
Email,College Students,30.0,"Facebook, Email",84594.0,6140.0,3037.0,1592.0,474416.0,116.07,1.57,Tamil,12.73,Premium Shoppers,2024-12-02,nykaa,184783.44
Email,College Students,6.0,"YouTube, WhatsApp, Facebook",68514.0,4183.0,2159.0,1560.0,1137240.0,118.91,5.13,English,11.53,Premium Shoppers,2024-11-21,nykaa,185499.6
Paid Ads,Premium Shoppers,6.0,"YouTube, Google, WhatsApp",96992.0,5685.0,1795.0,592.0,465904.0,361.37,1.18,English,8.32,College Students,2025-04-08,nykaa,213931.04
Influencer,College Students,17.0,Email,14923.0,2130.0,501.0,251.0,165911.0,632.99,0.04,Hindi,19.31,Youth,2024-09-14,nykaa,158880.49
Influencer,Youth,27.0,"YouTube, Google",82889.0,5595.0,2454.0,1747.0,595727.0,63.47,4.37,Hindi,11.82,Working Women,2024-12-29,nykaa,110882.09
Paid Ads,Working Women,25.0,"Facebook, WhatsApp",27967.0,3982.0,2041.0,1162.0,400890.0,83.37,3.14,Tamil,25.69,Tier 2 City Customers,2024-11-20,nykaa,96875.94
Influencer,Youth,13.0,Email,79822.0,3662.0,1855.0,1399.0,678515.0,119.77,3.05,Hindi,8.66,Youth,2025-03-10,nykaa,167558.22999999998
Paid Ads,Premium Shoppers,23.0,Google,71753.0,2351.0,631.0,313.0,160569.0,660.34,-0.22,Hindi,4.59,Premium Shoppers,2024-07-06,nykaa,206686.42
Paid Ads,Working Women,19.0,"Facebook, YouTube",16388.0,2204.0,1220.0,551.0,163096.0,269.66,0.1,Tamil,24.26,Premium Shoppers,2024-12-24,nykaa,148582.66
SEO,Premium Shoppers,24.0,WhatsApp,96739.0,2909.0,975.0,631.0,264389.0,411.95,0.02,Bengali,4.67,College Students,2025-05-16,nykaa,259940.44999999998
SEO,Youth,24.0,"Email, WhatsApp, Facebook",38359.0,5494.0,1307.0,548.0,210980.0,538.12,-0.28,English,19.16,Youth,2025-06-01,nykaa,294889.76
Influencer,Premium Shoppers,17.0,"Facebook, Google",18884.0,2186.0,1008.0,757.0,433761.0,358.33,0.6,Hindi,20.92,Working Women,2024-10-28,nykaa,271255.81
Paid Ads,Working Women,23.0,"Email, Facebook",22427.0,3170.0,1642.0,1208.0,289920.0,65.12,2.69,Tamil,26.84,Working Women,2024-10-29,nykaa,78664.96
Social Media,Working Women,29.0,"Google, WhatsApp, Facebook",41654.0,2475.0,682.0,480.0,130560.0,216.65,0.26,English,8.73,Tier 2 City Customers,2024-10-25,nykaa,103992.0
Social Media,Premium Shoppers,5.0,WhatsApp,17867.0,783.0,450.0,352.0,140096.0,805.48,-0.51,Bengali,8.87,Youth,2024-07-20,nykaa,283528.96
SEO,College Students,19.0,"YouTube, Instagram",84688.0,2963.0,644.0,224.0,70784.0,349.32,-0.1,Hindi,4.52,College Students,2024-09-18,nykaa,78247.68
Social Media,College Students,17.0,"Google, Instagram, YouTube",81120.0,3621.0,2138.0,1335.0,970545.0,62.36,10.66,English,8.75,College Students,2024-08-31,nykaa,83250.6
SEO,Premium Shoppers,20.0,"YouTube, Email",89313.0,7101.0,1648.0,581.0,308511.0,435.02,0.22,Tamil,10.45,Working Women,2024-11-07,nykaa,252746.62
Social Media,Tier 2 City Customers,30.0,Google,38109.0,5631.0,1784.0,935.0,382415.0,319.74,0.28,English,21.91,Tier 2 City Customers,2024-07-14,nykaa,298956.9
Influencer,Premium Shoppers,10.0,Email,55226.0,1987.0,741.0,237.0,76077.0,666.88,-0.52,Bengali,5.37,Tier 2 City Customers,2025-03-16,nykaa,158050.56
Email,Tier 2 City Customers,25.0,"Google, Facebook",56818.0,7752.0,3469.0,2084.0,1552580.0,89.57,7.32,English,23.42,Youth,2024-11-07,nykaa,186663.87999999998
Email,College Students,17.0,"Google, YouTube",79196.0,4444.0,2106.0,1105.0,604435.0,225.15,1.43,Bengali,9.67,Youth,2025-05-25,nykaa,248790.75
Paid Ads,College Students,6.0,Instagram,26121.0,3094.0,1767.0,1129.0,564500.0,222.33,1.25,Tamil,22.93,College Students,2024-11-03,nykaa,251010.57
Influencer,Youth,27.0,"Email, Facebook, WhatsApp",21874.0,2759.0,1501.0,544.0,176800.0,434.11,-0.25,Bengali,21.96,Premium Shoppers,2024-11-10,nykaa,236155.84
Social Media,Youth,25.0,"WhatsApp, Google, Facebook",67398.0,3539.0,1870.0,1277.0,873468.0,218.12,2.14,Bengali,9.92,Youth,2024-11-10,nykaa,278539.24
Social Media,Working Women,19.0,"Facebook, Instagram, WhatsApp",92303.0,2530.0,823.0,586.0,260770.0,110.43,3.03,English,4.27,Premium Shoppers,2025-05-03,nykaa,64711.98
SEO,Tier 2 City Customers,13.0,"Instagram, YouTube",14376.0,1307.0,339.0,213.0,143988.0,1321.91,-0.49,English,12.93,Youth,2024-11-07,nykaa,281566.83
SEO,College Students,12.0,"Instagram, Email",52785.0,1358.0,510.0,323.0,183141.0,468.6,0.21,English,4.15,Working Women,2024-12-16,nykaa,151357.80000000002
Influencer,Working Women,16.0,"Facebook, Email",50111.0,2212.0,1034.0,445.0,161535.0,557.47,-0.35,Bengali,7.37,Youth,2025-03-19,nykaa,248074.15000000002
Paid Ads,Premium Shoppers,14.0,Instagram,44752.0,4542.0,939.0,451.0,163262.0,201.21,0.8,Hindi,13.26,Tier 2 City Customers,2025-03-19,nykaa,90745.71
Influencer,Working Women,25.0,"WhatsApp, YouTube, Email",26332.0,2212.0,519.0,318.0,96990.0,314.8,-0.03,English,11.58,Tier 2 City Customers,2024-10-19,nykaa,100106.40000000001
Email,College Students,29.0,Instagram,27048.0,2862.0,1381.0,601.0,136427.0,346.07,-0.34,Tamil,17.91,Working Women,2024-07-17,nykaa,207988.07
Paid Ads,Youth,27.0,"Google, Email, YouTube",80861.0,4653.0,2015.0,967.0,332648.0,144.65,1.38,Hindi,9.44,Working Women,2025-02-05,nykaa,139876.55000000002
Social Media,Working Women,14.0,Google,84746.0,5054.0,1089.0,424.0,251432.0,479.92,0.24,English,7.75,Working Women,2024-09-17,nykaa,203486.08000000002
Influencer,Tier 2 City Customers,7.0,"Facebook, WhatsApp",51295.0,7627.0,4111.0,1653.0,1153794.0,162.94,3.28,English,26.11,Premium Shoppers,2025-05-10,nykaa,269339.82
SEO,Youth,26.0,WhatsApp,69265.0,7003.0,2488.0,1954.0,789416.0,105.61,2.83,Bengali,16.52,College Students,2025-01-31,nykaa,206361.94
Paid Ads,Working Women,10.0,"Google, YouTube, Facebook",37599.0,3988.0,838.0,353.0,266515.0,357.27,1.11,Tamil,13.77,College Students,2025-01-31,nykaa,126116.31
SEO,College Students,9.0,Facebook,50092.0,6348.0,3063.0,921.0,735879.0,208.26,2.84,Hindi,20.63,Premium Shoppers,2025-03-14,nykaa,191807.46
Paid Ads,College Students,7.0,Facebook,89448.0,5563.0,2430.0,972.0,296460.0,267.69,0.14,Hindi,10.02,Youth,2025-05-13,nykaa,260194.68
SEO,College Students,11.0,"Instagram, Google, YouTube",16115.0,758.0,397.0,192.0,76416.0,966.69,-0.59,Hindi,8.36,Youth,2025-05-06,nykaa,185604.48
Influencer,College Students,11.0,Instagram,73261.0,2930.0,1694.0,620.0,350300.0,208.05,1.72,English,7.16,Tier 2 City Customers,2025-02-09,nykaa,128991.0
Social Media,Working Women,10.0,YouTube,15554.0,1757.0,827.0,516.0,395772.0,318.52,1.41,Hindi,19.93,College Students,2025-06-06,nykaa,164356.31999999998
SEO,Tier 2 City Customers,11.0,Email,59626.0,7986.0,3890.0,1183.0,375011.0,241.78,0.31,Bengali,21.9,Tier 2 City Customers,2025-04-03,nykaa,286025.74
Email,Tier 2 City Customers,26.0,Google,13658.0,1560.0,384.0,119.0,63784.0,1838.5,-0.71,Bengali,15.1,College Students,2025-03-05,nykaa,218781.5
Social Media,Tier 2 City Customers,14.0,"Instagram, WhatsApp, Google",50521.0,3011.0,783.0,578.0,291890.0,460.74,0.1,Tamil,8.65,College Students,2024-11-18,nykaa,266307.72000000003
Influencer,Youth,17.0,Google,87978.0,2584.0,797.0,349.0,222662.0,462.38,0.38,English,4.24,College Students,2025-04-10,nykaa,161370.62
Paid Ads,Youth,21.0,WhatsApp,81711.0,2838.0,1606.0,680.0,299880.0,230.85,0.91,English,6.27,Working Women,2025-03-22,nykaa,156978.0
SEO,Youth,20.0,"Instagram, WhatsApp, Facebook",47925.0,5994.0,3533.0,2120.0,1666320.0,25.66,29.63,Hindi,24.3,College Students,2024-09-09,nykaa,54399.2
Paid Ads,Premium Shoppers,9.0,YouTube,55226.0,1125.0,448.0,178.0,38982.0,1576.61,-0.86,Bengali,3.17,Youth,2024-07-24,nykaa,280636.57999999996
Paid Ads,College Students,27.0,WhatsApp,76222.0,11329.0,5979.0,4719.0,1382667.0,41.56,6.05,Hindi,28.9,Working Women,2025-02-28,nykaa,196121.64
Paid Ads,College Students,18.0,"WhatsApp, Google, Facebook",51295.0,7324.0,3656.0,2676.0,1916016.0,52.99,12.51,English,26.62,Premium Shoppers,2025-05-15,nykaa,141801.24000000002
Email,Youth,28.0,"Instagram, Facebook",89662.0,6017.0,2574.0,1520.0,1149120.0,149.2,4.07,Bengali,11.28,Youth,2025-05-12,nykaa,226783.99999999997
Paid Ads,Youth,6.0,"Instagram, Email",29711.0,3412.0,1804.0,1001.0,545545.0,73.1,6.46,Hindi,20.92,Youth,2024-09-03,nykaa,73173.09999999999
Social Media,Tier 2 City Customers,16.0,"Instagram, Email, YouTube",70371.0,2659.0,1259.0,615.0,191880.0,281.07,0.11,Tamil,6.44,Tier 2 City Customers,2025-04-19,nykaa,172858.05
Influencer,Youth,21.0,"Facebook, YouTube",23508.0,1702.0,915.0,726.0,570636.0,377.95,1.08,Tamil,14.22,Youth,2025-03-06,nykaa,274391.7
Email,College Students,5.0,Instagram,35643.0,1049.0,600.0,459.0,265302.0,467.95,0.24,Bengali,5.91,Working Women,2024-09-26,nykaa,214789.05
Paid Ads,Working Women,22.0,Google,13563.0,1698.0,810.0,247.0,148200.0,1045.54,-0.43,English,20.31,College Students,2024-10-05,nykaa,258248.38
SEO,Tier 2 City Customers,5.0,WhatsApp,16663.0,2408.0,1178.0,394.0,304168.0,565.91,0.36,Tamil,23.89,Tier 2 City Customers,2025-04-24,nykaa,222968.53999999998
Paid Ads,Tier 2 City Customers,26.0,"Google, Facebook",44777.0,4999.0,2642.0,1678.0,894374.0,79.69,5.69,Bengali,20.81,Working Women,2024-07-20,nykaa,133719.82
SEO,Youth,17.0,"WhatsApp, Google, Facebook",55226.0,7233.0,3978.0,2690.0,1202430.0,33.31,12.42,Hindi,25.17,College Students,2024-07-20,nykaa,89603.90000000001
Social Media,Working Women,19.0,Google,39522.0,1674.0,547.0,346.0,143244.0,313.25,0.32,Bengali,6.5,Youth,2025-02-09,nykaa,108384.5
Influencer,Youth,30.0,"Instagram, Email",61680.0,5868.0,2541.0,1905.0,1379220.0,75.04,8.65,Hindi,16.72,Youth,2025-05-14,nykaa,142951.2
Email,Working Women,25.0,Facebook,38595.0,1936.0,617.0,389.0,99584.0,514.33,-0.5,Hindi,7.62,Youth,2024-07-26,nykaa,200074.37000000002
Email,College Students,16.0,"Instagram, Email, WhatsApp",32872.0,2443.0,1086.0,841.0,332195.0,338.18,0.17,English,13.29,College Students,2025-02-11,nykaa,284409.38
Paid Ads,Youth,10.0,Instagram,37340.0,2656.0,1084.0,428.0,112992.0,544.6,-0.52,Bengali,11.16,Premium Shoppers,2025-01-09,nykaa,233088.80000000002
Email,College Students,6.0,"Facebook, Instagram",59416.0,3178.0,766.0,431.0,104733.0,331.59,-0.27,Tamil,7.36,College Students,2024-08-02,nykaa,142915.28999999998
Social Media,Working Women,15.0,"YouTube, Google, WhatsApp",59451.0,8869.0,4203.0,2236.0,851916.0,32.87,10.59,English,25.75,Tier 2 City Customers,2025-04-19,nykaa,73497.31999999999
Social Media,Tier 2 City Customers,14.0,Email,55226.0,3222.0,729.0,467.0,329702.0,272.52,1.59,English,8.0,Tier 2 City Customers,2024-12-27,nykaa,127266.84
